City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,-2.09,86,75,1.03,SJ,1730221393
83,blackmans bay,-43.0167,147.3167,8.74,81,100,0.45,AU,1730221546
84,buala,-8.145,159.5921,26.52,82,13,0.84,SB,1730221547
85,shubarshi,48.5872,57.1869,3.08,64,94,2.81,KZ,1730221548
86,fortuna,40.5982,-124.1573,8.51,100,20,1.54,US,1730221549
87,krasnystaw,50.9846,23.1742,11.59,91,100,2.54,PL,1730221550
88,carnarvon,-24.8667,113.6333,21.78,79,0,8.74,AU,1730221551
89,thompson,55.7435,-97.8558,2.09,87,100,3.6,CA,1730221472
90,kingston,17.997,-76.7936,32.53,66,75,7.2,JM,1730221075
91,kailua-kona,19.6406,-155.9956,23.85,78,40,2.57,US,1730221555
92,val-d'or,48.1002,-77.7828,7.05,53,75,9.26,CA,1730221556
93,isafjordur,66.0755,-23.124,1.02,93,75,2.06,IS,1730221557
94,wanxian,30.8039,108.3897,19.11,64,2,1.59,CN,1730221558
95,tagta,41.6504,59.9164,11.97,50,0,2.06,TM,1730221559
96,harstad,68.799,16.5293,0.9,97,100,5.81,NO,1730221560
97,arraial do cabo,-22.9661,-42.0278,23.92,78,100,5.14,BR,1730221296
98,mankera,31.3866,71.4407,28.25,30,1,2.22,PK,1730221562
99,cotonou,6.3654,2.4183,28.99,79,40,4.12,BJ,1730221563
100,gainesville,29.6516,-82.3248,23.91,83,100,3.6,US,1730221428
101,kaedi,16.1465,-13.5047,37.56,15,65,2.74,MR,1730221565
102,quellon,-43.1167,-73.6167,14.25,71,91,5.41,CL,1730221567
103,constantia,44.1833,28.65,11.38,63,7,5.06,RO,1730221568
104,kapa'a,22.0752,-159.319,23.6,92,80,6.27,US,1730221374
105,tolanaro,-25.0319,46.9987,26.04,83,40,13.89,MG,1730221570
106,kiunga,-6.1219,141.2906,23.87,99,100,0.89,PG,1730221571
107,tiksi,71.6872,128.8694,-23.43,100,90,1.43,RU,1730221572
108,jabor,5.921,169.6434,28.22,73,56,2.81,MH,1730221573
109,hovd,48.0056,91.6419,1.62,40,82,3.67,MN,1730221574
110,monte azul paulista,-20.9072,-48.6414,28.85,55,92,2.32,BR,1730221575
111,kuqa,41.7278,82.9364,11.4,45,10,1.84,CN,1730221460
112,tarko-sale,64.9225,77.785,-5.6,98,95,2.51,RU,1730221577
113,canutama,-6.5339,-64.3831,42.31,21,8,0.74,BR,1730221578
114,akcakoca,41.0866,31.1162,12.79,88,0,1.06,TR,1730221579
115,hawaiian paradise park,19.5933,-154.9731,20.92,94,20,3.6,US,1730221580
116,male,4.1748,73.5089,28.97,84,40,4.63,MV,1730221582
117,olonkinbyen,70.9221,-8.7187,-4.01,63,98,5.24,SJ,1730221583
118,portage la prairie,49.9728,-98.2926,6.05,81,75,1.54,CA,1730221584
119,ilulissat,69.2167,-51.1,-9.99,57,75,2.57,GL,1730221585
120,hermanus,-34.4187,19.2345,18.22,79,9,3.78,ZA,1730221535
121,gadzhiyevo,69.2551,33.3362,0.1,68,16,8.87,RU,1730221587
122,nizhnesortymskiy,62.4397,71.7603,-1.48,90,98,3.32,RU,1730221589
123,margaret river,-33.95,115.0667,13.62,82,45,5.0,AU,1730221591
124,arar,30.9753,41.0381,21.01,21,0,1.54,SA,1730221335
125,crane,31.3974,-102.3501,24.34,47,0,11.89,US,1730221593
126,lebu,-37.6167,-73.65,16.57,61,37,2.79,CL,1730221594
127,st. paul,44.9444,-93.0933,20.42,71,0,4.92,US,1730221219
128,haiku-pauwela,20.9219,-156.3051,22.78,82,20,7.6,US,1730221596
129,muravlenko,63.7898,74.523,-6.14,97,99,2.13,RU,1730221598
130,ulanhot,46.0833,122.0833,3.81,76,4,2.51,CN,1730221600
131,labasa,-16.4167,179.3833,22.41,90,55,1.52,FJ,1730221601
132,puerto baquerizo moreno,-0.9,-89.6,22.55,83,100,6.17,EC,1730221336
133,iqaluit,63.7506,-68.5145,-8.93,87,50,1.37,CA,1730221603
134,kybartai,54.6386,22.7632,9.8,81,94,2.23,LT,1730221756
135,mount gambier,-37.8333,140.7667,7.39,97,8,0.98,AU,1730221757
136,livingston,55.9029,-3.5226,11.95,85,0,4.12,GB,1730221759
137,khandyga,62.6667,135.6,-21.6,97,59,0.78,RU,1730221760
138,shanhecun,44.7,127.2,7.99,89,100,1.13,CN,1730221761
139,camalu,30.85,-116.0667,17.91,55,100,5.38,MX,1730221762
140,machico,32.7,-16.7667,21.42,71,75,3.09,PT,1730221763
141,pocitos,-34.9097,-56.1522,28.91,48,0,2.57,UY,1730221764
142,khandud,36.9513,72.318,2.8,81,70,2.62,AF,1730221765
143,gamba,-2.65,10.0,25.32,83,91,3.47,GA,1730221766
144,praia da vitoria,38.7333,-27.0667,20.14,88,75,6.04,PT,1730221767
145,arno,60.1167,18.6333,7.07,91,72,6.88,SE,1730221768
146,kontcha,7.9667,12.2333,26.73,57,22,0.98,CM,1730221769
147,mili,6.0815,171.735,27.84,73,17,1.95,MH,1730221770
148,mejit,10.2753,170.8646,28.56,75,51,6.46,MH,1730221771
149,coquimbo,-29.9533,-71.3436,17.77,67,75,4.63,CL,1730221538
150,college,64.8569,-147.8028,-7.74,90,100,1.97,US,1730221773
151,gosaba,22.165,88.7998,25.06,82,4,2.36,IN,1730221774
152,xinmin,41.9908,122.8253,8.99,65,2,4.59,CN,1730221776
153,daru,-9.0763,143.2092,26.13,89,100,5.39,PG,1730221777
154,mawlamyinegyunn,16.3833,95.2667,24.41,93,12,2.85,MM,1730221778
155,howard springs,-12.497,131.047,27.29,86,100,3.38,AU,1730221779
156,an nuhud,12.7,28.4333,29.79,15,0,4.55,SD,1730221780
157,kavaratti,10.5669,72.642,27.98,71,12,2.84,IN,1730221782
158,freire,-38.95,-72.6333,21.89,53,0,2.57,CL,1730221783
159,chibougamau,49.9168,-74.3659,5.22,37,98,6.69,CA,1730221784
160,udachny,66.4167,112.4,-27.37,100,95,1.97,RU,1730221786
161,margate,51.3813,1.3862,13.22,86,87,2.89,GB,1730221787
162,qamdo,31.1667,97.2333,3.34,57,22,2.59,CN,1730221789
163,lodja,-3.4833,23.4333,22.16,97,66,1.34,CD,1730221791
164,ust'-kulom,61.6864,53.6902,1.72,86,93,3.15,RU,1730221792
165,awjilah,29.1081,21.2869,21.54,43,0,4.47,LY,1730221793
166,arteche,12.2645,125.4048,26.2,83,100,3.4,PH,1730221794
167,amahai,-3.3333,128.9167,25.91,86,28,1.81,ID,1730221795
168,flin flon,54.7682,-101.865,1.91,64,100,2.06,CA,1730221796
169,new glasgow,45.5834,-62.6486,6.41,50,84,5.57,CA,1730221797
170,bodo,67.28,14.405,6.82,83,75,15.95,NO,1730221798
171,pamanukan,-6.2842,107.8106,28.56,73,39,1.83,ID,1730221799
172,beboto,8.2668,16.939,26.51,48,3,0.45,TD,1730221800
173,malango,-2.9627,119.9001,18.3,98,9,1.13,ID,1730221802
174,nacala,-14.5428,40.6728,25.83,90,6,6.04,MZ,1730221803
175,tamiahua,21.2667,-97.45,26.93,69,13,1.1,MX,1730221804
176,aykhal,66.0,111.5,-22.66,100,100,2.86,RU,1730221805
177,ngama,11.7833,17.1667,32.08,18,3,3.63,TD,1730221806
178,siyabuswa,-25.1132,29.0445,25.39,15,0,3.77,ZA,1730221807
179,elliot lake,46.3834,-82.6331,10.14,99,100,3.2,CA,1730221808
180,tsiombe,-25.3,45.4833,27.96,61,90,2.42,MG,1730221809
181,hafar al-batin,28.4328,45.9708,21.32,24,0,0.0,SA,1730221810
182,charters towers,-20.1,146.2667,20.06,82,0,4.46,AU,1730221812
183,pavilosta,56.8879,21.1859,11.25,85,100,5.06,LV,1730221813
184,newman,37.3138,-121.0208,16.13,47,0,5.81,US,1730221815
185,stanley,54.868,-1.6985,11.12,87,20,3.6,GB,1730221816
186,manokwari,-0.8667,134.0833,27.46,76,7,1.63,ID,1730221817
187,codrington,-38.2667,141.9667,9.92,83,98,2.76,AU,1730221818
188,paka,4.6374,103.4368,23.88,94,100,1.35,MY,1730221819
189,polyarnyy,69.1989,33.4478,0.1,68,15,8.58,RU,1730221820
190,la sarre,48.8002,-79.1996,6.81,55,100,5.58,CA,1730221821
191,belvedere marittimo,39.6179,15.8617,19.32,77,90,1.47,IT,1730221822
192,howrah,22.5892,88.3103,28.0,78,40,2.06,IN,1730221823
193,fayzabad,37.1166,70.58,9.29,86,28,0.28,AF,1730221824
194,kegen,43.0197,79.2203,-2.7,79,36,0.85,KZ,1730221825
195,trebes,43.2106,2.4417,18.21,88,20,4.63,FR,1730221826
196,petropavlovsk-kamchatsky,53.0452,158.6483,1.29,56,100,20.7,RU,1730221827
197,'alaqahdari dishu,30.4374,63.313,19.0,25,25,1.57,AF,1730221828
198,mana,5.6592,-53.7767,30.45,59,99,4.4,GF,1730221830
199,prainha,-1.8,-53.48,36.43,32,66,2.0,BR,1730221831
200,edinburgh of the seven seas,-37.0676,-12.3116,14.08,79,13,8.71,SH,1730221832
201,yuzhno-kurilsk,44.0306,145.8556,7.43,82,45,1.88,RU,1730221833
202,invercargill,-46.4,168.35,7.23,84,87,2.68,NZ,1730221792
203,fairbanks,64.8378,-147.7164,-7.73,90,100,1.93,US,1730221836
204,veraval,20.9,70.3667,27.87,76,6,5.0,IN,1730221837
205,kodiak,57.79,-152.4072,3.73,60,0,14.4,US,1730221695
206,bardai,11.65,7.2333,26.88,31,92,2.6,NG,1730221839
207,constitucion,-35.3333,-72.4167,17.16,76,61,5.37,CL,1730221621
208,chui,-33.6971,-53.4616,24.41,55,0,2.61,UY,1730221842
209,cabo san lucas,22.8909,-109.9124,32.09,41,0,6.17,MX,1730221843
210,satsuma,30.8532,-88.0561,27.29,46,3,3.13,US,1730221844
211,despenaderos,-31.8163,-64.2899,33.19,27,0,6.21,AR,1730221845
212,kenai,60.5544,-151.2583,0.87,95,100,5.66,US,1730221846
213,kirensk,57.7853,108.1119,-0.64,99,100,0.81,RU,1730221848
214,bashtanka,47.4072,32.4387,9.55,53,45,3.12,UA,1730221849
215,barra do bugres,-15.0725,-57.1811,32.22,51,94,2.02,BR,1730221850
216,siwa oasis,29.2041,25.5195,22.8,38,0,2.97,EG,1730221851
217,nguigmi,14.2495,13.1092,29.78,14,7,3.62,NE,1730221852
218,minab,27.1467,57.0801,28.28,58,2,1.7,IR,1730221853
219,happy valley-goose bay,53.3168,-60.3315,-0.83,80,75,3.09,CA,1730221854
220,alotau,-10.3069,150.4462,24.46,95,100,1.04,PG,1730221855
221,tazovsky,67.4667,78.7,-5.94,94,100,1.51,RU,1730221856
222,san patricio,28.017,-97.5169,29.97,61,35,9.28,US,1730221857
223,la passe,45.5549,-0.8967,17.3,83,0,3.75,FR,1730221859
224,labytnangi,66.6572,66.4183,-9.37,94,80,0.7,RU,1730221860
225,urubamba,-13.3047,-72.1158,15.01,59,73,3.65,PE,1730221861
226,kyren,51.6828,102.1408,2.01,79,100,0.96,RU,1730221862
227,iskateley,67.6803,53.1512,0.83,90,99,5.99,RU,1730221863
228,alofi,-19.0595,-169.9187,21.94,83,40,2.06,NU,1730221864
229,rundu,-17.9333,19.7667,27.01,9,0,2.05,NA,1730221865
230,saudarkrokur,65.7461,-19.6394,2.28,93,96,3.99,IS,1730221866
231,karratha,-20.7377,116.8463,28.21,66,0,0.24,AU,1730221867
232,yeppoon,-23.1333,150.7333,20.77,77,0,1.72,AU,1730221868
233,calama,-22.4667,-68.9333,26.27,7,0,9.77,CL,1730221869
234,sasovo,54.3537,41.9199,6.16,82,91,4.71,RU,1730221870
